prompt_id,prompt,domain,task_type,benchmark_id,model_id,model_output,quality_score,cost
p001,API가 무엇인지 한 문장으로 설명해줘.,general,qa,basic_qa,cheap,API는 프로그램끼리 서로 요청하고 응답할 수 있게 해주는 약속입니다.,0.88,0.01
p001,API가 무엇인지 한 문장으로 설명해줘.,general,qa,basic_qa,mid,API는 한 소프트웨어가 다른 소프트웨어의 기능이나 데이터를 정해진 방식으로 사용할 수 있게 해주는 인터페이스입니다.,0.91,0.05
p001,API가 무엇인지 한 문장으로 설명해줘.,general,qa,basic_qa,premium,API는 애플리케이션들이 정해진 규칙에 따라 요청과 응답을 주고받도록 만드는 계약이자 인터페이스입니다.,0.9,0.2
p002,n번째 피보나치 수를 반환하는 파이썬 함수를 작성해줘.,tech,code_generation,coding_easy,cheap,def fib(n): return n if n < 2 else fib(n-1) + fib(n-2),0.62,0.01
p002,n번째 피보나치 수를 반환하는 파이썬 함수를 작성해줘.,tech,code_generation,coding_easy,mid,"def fib(n):\n    a, b = 0, 1\n    for _ in range(n):\n        a, b = b, a + b\n    return a",0.92,0.05
p002,n번째 피보나치 수를 반환하는 파이썬 함수를 작성해줘.,tech,code_generation,coding_easy,premium,"def fibonacci(n):\n    if n < 0:\n        raise ValueError('n은 0 이상이어야 합니다')\n    a, b = 0, 1\n    for _ in range(n):\n        a, b = b, a + b\n    return a",0.95,0.2
p003,회의록을 요약해줘: 팀은 결제 버그를 고치고 온보딩을 개선하기 위해 출시를 2주 미루기로 했다.,business,summarization,summarization_short,cheap,출시는 결제 버그 수정과 온보딩 개선 때문에 2주 연기됩니다.,0.91,0.01
p003,회의록을 요약해줘: 팀은 결제 버그를 고치고 온보딩을 개선하기 위해 출시를 2주 미루기로 했다.,business,summarization,summarization_short,mid,팀은 결제 문제를 해결하고 온보딩을 다듬기 위해 출시 일정을 2주 늦추기로 했습니다.,0.93,0.05
p003,회의록을 요약해줘: 팀은 결제 버그를 고치고 온보딩을 개선하기 위해 출시를 2주 미루기로 했다.,business,summarization,summarization_short,premium,"출시는 2주 연기되며, 그 기간 동안 팀은 결제 버그를 수정하고 신규 사용자 온보딩 흐름을 개선할 예정입니다.",0.92,0.2
p004,작은 분석 대시보드에 SQLite와 PostgreSQL 중 무엇이 더 적합한지 비교해줘.,tech,reasoning,comparison_medium,cheap,SQLite는 간단하고 PostgreSQL은 더 큰 서비스에 좋습니다.,0.58,0.01
