Prompt,정답
안녕,cheap
오늘은 무슨 요일이야?,cheap
Python이 무엇인지 한 문장으로 설명해줘.,cheap
HTTP의 의미를 알려줘.,cheap
대한민국의 수도는 어디야?,cheap
Docker와 VM의 차이를 3줄로 설명해줘.,cheap
Java에서 List와 Set의 차이를 알려줘.,cheap
Git에서 commit과 push의 차이는?,cheap
JSON이 무엇인가?,cheap
1024MB는 몇 GB인가?,cheap
Spring Boot와 Spring Framework의 차이를 비교해줘.,mid
React Context와 Zustand를 언제 각각 사용하는 것이 좋은가?,mid
REST API와 GraphQL의 장단점을 비교해줘.,mid
MySQL Index가 필요한 이유를 설명해줘.,mid
Docker Compose와 Kubernetes의 차이를 비교해줘.,mid
JWT 인증 흐름을 단계별로 설명해줘.,mid
TCP와 UDP를 실제 서비스 사례와 함께 비교해줘.,mid
CI/CD 파이프라인을 GitLab 기준으로 설계해줘.,mid
PostgreSQL과 MySQL 중 어떤 상황에서 각각 선택하는 것이 좋은가?,mid
Redis Cache를 사용할 때 발생할 수 있는 문제점을 설명해줘.,mid
React Zustand TanStack Query를 사용하는 대규모 프로젝트의 상태관리 구조를 설계하고 그 이유를 설명해줘.,premium
Kubernetes 기반 MSA 환경에서 Blue-Green과 Canary 배포를 비교하고 실제 운영 전략을 제안해줘.,premium
Python으로 LRU Cache를 구현하고 시간복잡도를 증명해줘.,premium
OpenAPI 명세를 기반으로 타입 안전성을 유지하는 프론트엔드 아키텍처를 설계해줘.,premium
이 논문의 핵심 기여와 한계점을 요약하고 후속 연구 아이디어까지 제안해줘.,premium
C++과 Rust의 메모리 관리 방식을 내부 동작 수준에서 비교하고 각각의 장단점을 설명해줘.,premium
비용 제약이 있는 LLM Router를 설계할 때 Utility Function과 Calibration을 포함한 전체 파이프라인을 설계해줘.,premium
SQL 실행계획을 분석하여 병목을 찾고 인덱스 전략을 제안해줘.,premium
100만 건 이상의 로그를 실시간 처리하는 시스템 아키텍처를 설계해줘.,premium
기존 레거시 시스템을 MSA로 전환할 때 발생하는 문제점과 단계별 마이그레이션 전략을 제시해줘.,premium
